quote_id,text,article_title,source,manual_score,notes
0FKKO6wMSd4phZIs1YEj,"regain the trust of its workforce, particularly its racialised workforce, and the communities that it’s meant to be working with, especially racialised communities","Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
0J8C1xnmi3dfHQexTqgR,Nordelta Capybaras – We Are Your Voice,Contraception for capybaras: Buenos Aires suburb’s rodent plan stirs debate,The Guardian,,
0MXnaUFtuLnhWc4354AP,"We have a common strategy, and we can’t always share the details of this strategy with the public",Netanyahu says Israel working closely with US on Trump’s plan for Gaza,The Guardian,,
0V1k4OWmt9dB9rgbcVFp,"We believe that Putin will wage war against Nato,",Ukraine recaptures frontline village amid signs of slowing Russian advance,The Guardian,,
0cvi91DM7NG2DXh3EcYm,"There has been an awakening, particularly among the youth, to Sanatana Dharma [the principles of Hinduism], and we see more are committing to become sadhus than ever before.",‘There has been an awakening’: ancient sects on the rise in Modi’s India,The Guardian,,
0rL9a4phGKkPYG7ZWopi,excessive growth,Contraception for capybaras: Buenos Aires suburb’s rodent plan stirs debate,The Guardian,,
0uHHbo6rc763xbFcgsb9,Canada is the second largest landmass! The first nation of hockey! And the best part of North America! My name is Joe! And I am Canadian!,Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
11fh6WoZDPGrRouEqlOL,positive step,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
12497nojpjS1oz3FyOa9,They’re only feeling what we’ve been feeling for the last 175 years. It’s how the government has treated First Nations in Canada.,Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
1QO5uLscWm19LysK8dvX,careful they don’t dehumanise marginalised communities,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
1amAYgfmUVEMuqTGxUZl,a real recipe for injustice,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
1bNx81WaWgOHXkKdyTjy,"No government in the past has recognised and respected akharas and sadhus like the Modi government,",‘There has been an awakening’: ancient sects on the rise in Modi’s India,The Guardian,,
1fPbCOqmip4j81TV0Que,"Up to this day, the previous government and today’s government have not been able to accept or to take the stand and call the Nigerian government to say stop,",Brother of British national held in Nigeria says UK has ‘turned its back’,The Guardian,,
1lzEuLYHmSvJ7DXQ5oqD,going backwards,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
2VJbo1zPaFTfxvXNvnYr,"It is dangerous to speak with enemies before you speak with allies. Ukraine’s position remains unchanged: We need to have a joint position of Ukraine, the US and Europe before any negotiations with Putin,",John Major accuses US of ‘cuddling’ up to Putin and condemns JD Vance’s Munich speech – as it happened,The Guardian,,
2Z8hP606KyL2hM11YN3g,the number of sadhus which have been initiated in this Kumbh is manifolds higher than in previous ones,‘There has been an awakening’: ancient sects on the rise in Modi’s India,The Guardian,,
2c8REDKmgpBVG20FhcVn,"It’s just a buzzword,","Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
30ohxFeV1sK9w48SxfRU,with a realistic assessment of the battlefield.,Hegseth Says Return to Ukraine’s Pre-2014 Borders Is ‘Unrealistic’,NYT,,
3CLo9fHamVwRFxJYSKFm,"Ukraine is defending … but we need more air defence systems to protect Ukrainians’ lives. Europe and the world must be better protected from such evil and prepared to confront it,",Ukraine recaptures frontline village amid signs of slowing Russian advance,The Guardian,,
3Dj5mc1CcM82DAhjcW2s,"brutally combats freedom and its defenders. Navalny’s work was all the more brave,",Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
3WvohRyM4qq6wnIRVPgt,"I took the decision not to be afraid,",Alexei Navalny supporters visit grave on first anniversary of his death,The Guardian,,
4XozKtRMkMgLpxkzrl8M,"It really should be acting to a higher standard than others and needs to maintain that in mind,","Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
4b0DQ1q6HSqxKSntjITp,"The new government will solve all these problems soon, god willing,",‘We live in constant fear’: Alawites in Syria’s Homs terrified of reprisals,The Guardian,,
4lXWL1ycO7pOJGF59uVN,good example of how a structural issue gives permission to interpersonal racism to occur,"Australia is going backwards on race but ‘social cohesion’ is not the answer, commissioner warns",The Guardian,,
4nQGUqFn12B44q7jAcvk,"It may have shocked and surprised many,",Netanyahu says Israel working closely with US on Trump’s plan for Gaza,The Guardian,,
55X7QTX9uISS56F6AjVc,"We’re in a trade war, you traitor!",Trump’s comments on Canada prompt surge of patriotism – in a Canadian way,The Guardian,,
